Month,County,Fuel Type,Count,Year
June,Donegal,Petrol and electric hybrid,16,2021
June,Donegal,Electric,5,2021
June,Donegal,Petrol or Diesel plug-in hybrid electric,6,2021
June,Donegal,Diesel and electric hybrid,3,2021
June,Galway,Petrol and electric hybrid,14,2021
June,Galway,Electric,19,2021
June,Galway,Petrol or Diesel plug-in hybrid electric,7,2021
June,Galway,Diesel and electric hybrid,1,2021
June,Kerry,Petrol and electric hybrid,7,2021
June,Kerry,Electric,4,2021
June,Kerry,Petrol or Diesel plug-in hybrid electric,6,2021
June,Kerry,Diesel and electric hybrid,2,2021
June,Kildare,Petrol and electric hybrid,23,2021
June,Kildare,Electric,32,2021
June,Kildare,Petrol or Diesel plug-in hybrid electric,24,2021
June,Kildare,Diesel and electric hybrid,2,2021
June,Kilkenny,Petrol and electric hybrid,2,2021
June,Kilkenny,Electric,3,2021
June,Kilkenny,Petrol or Diesel plug-in hybrid electric,7,2021
June,Kilkenny,Diesel and electric hybrid,0,2021
June,Laois,Petrol and electric hybrid,1,2021
June,Laois,Electric,1,2021
June,Laois,Petrol or Diesel plug-in hybrid electric,2,2021
June,Laois,Diesel and electric hybrid,1,2021
June,Leitrim,Petrol and electric hybrid,3,2021
June,Leitrim,Electric,1,2021
June,Leitrim,Petrol or Diesel plug-in hybrid electric,1,2021
June,Leitrim,Diesel and electric hybrid,0,2021
June,Longford,Petrol and electric hybrid,1,2021
June,Longford,Electric,3,2021
June,Longford,Petrol or Diesel plug-in hybrid electric,1,2021
June,Longford,Diesel and electric hybrid,0,2021
June,Louth,Petrol and electric hybrid,7,2021
June,Louth,Electric,4,2021
June,Louth,Petrol or Diesel plug-in hybrid electric,2,2021
June,Louth,Diesel and electric hybrid,1,2021
June,Mayo,Petrol and electric hybrid,5,2021
June,Mayo,Electric,6,2021
June,Mayo,Petrol or Diesel plug-in hybrid electric,4,2021
June,Mayo,Diesel and electric hybrid,0,2021
June,Meath,Petrol and electric hybrid,20,2021
June,Meath,Electric,19,2021
June,Meath,Petrol or Diesel plug-in hybrid electric,11,2021
June,Meath,Diesel and electric hybrid,1,2021
June,Monaghan,Petrol and electric hybrid,4,2021
June,Monaghan,Electric,1,2021
June,Monaghan,Petrol or Diesel plug-in hybrid electric,3,2021
